mode,family_id,scenario_id,parameter_sample,seed,run,arm_id,run_id,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,all_generated_censored_mean_us,completed_frame_hf7_p99_supported,completed_frame_hf7_p99_us,sender_airtime_us,background_throughput_mbps
fixed,radio_propagation,radio-propagation-qualification-p23,23,21032,1,distributional_shadow_t2,6cdc5cc1468eabde264f,1800,1331,469,469,0.26055555555555554,17057.79611111111,True,32027.5,11939166.0,26.72112
fixed,obss_intensity,obss-intensity-qualification-p16,16,21033,1,str_mlo_nmaxinflights_1,7791f434259b2a5daf40,1800,1724,76,76,0.042222222222222223,5867.04,True,28293.859999999986,4874042.0,29.91856
fixed,obss_intensity,obss-intensity-qualification-p16,16,21033,1,score_aware_t2_v2,592b2d28f5a2c97ffa4d,1800,1708,92,92,0.051111111111111114,6938.0072222222225,True,28176.150000000005,6273804.0,29.9208
fixed,obss_intensity,obss-intensity-qualification-p16,16,21033,1,distributional_shadow_t2,766f48e169c53d236027,1800,1709,91,91,0.050555555555555555,6922.985555555556,True,28238.64,6349473.0,29.92048
fixed,obss_intensity,obss-intensity-qualification-p16,16,21034,1,str_mlo_nmaxinflights_1,4907f69444183af40cde,1800,1761,39,39,0.021666666666666667,4187.446666666667,True,21767.400000000038,4148282.0,30.44192
fixed,obss_intensity,obss-intensity-qualification-p16,16,21034,1,score_aware_t2_v2,3ce24618cd012538cb2b,1800,1787,13,13,0.007222222222222222,3678.13,True,17849.79999999993,4729189.0,30.44384
fixed,obss_intensity,obss-intensity-qualification-p16,16,21034,1,distributional_shadow_t2,27c786ccd530ee14c088,1800,1790,10,10,0.005555555555555556,3637.777222222222,True,19155.609999999953,4896313.0,30.44352
fixed,obss_intensity,obss-intensity-qualification-p16,16,21035,1,str_mlo_nmaxinflights_1,52a60158c08ffc9c3232,1800,1722,78,78,0.043333333333333335,6280.2283333333335,True,28665.369999999974,5117593.0,30.492
fixed,obss_intensity,obss-intensity-qualification-p16,16,21035,1,score_aware_t2_v2,9fd5c829a18193ed620b,1800,1713,87,87,0.04833333333333333,6673.245555555555,True,28862.039999999943,6178461.0,30.49248
fixed,obss_intensity,obss-intensity-qualification-p16,16,21035,1,distributional_shadow_t2,6f65af4bf7636bb86fb3,1800,1729,71,71,0.03944444444444444,6263.846111111111,True,26525.240000000005,6384339.0,30.49248
fixed,obss_intensity,obss-intensity-qualification-p16,16,21036,1,str_mlo_nmaxinflights_1,c124f2b842ca9fb86cd7,1800,1789,11,11,0.006111111111111111,3486.1922222222224,True,21678.359999999993,4015311.0,30.48688
fixed,obss_intensity,obss-intensity-qualification-p16,16,21036,1,score_aware_t2_v2,2afb8ec46b1731c2e499,1800,1790,10,10,0.005555555555555556,3531.737222222222,True,17850.019999999982,4683221.0,30.48128
fixed,obss_intensity,obss-intensity-qualification-p16,16,21036,1,distributional_shadow_t2,2e99e097a9ddc7ba614a,1800,1792,8,8,0.0044444444444444444,3548.676111111111,True,18996.609999999997,4745187.0,30.48128
fixed,obss_intensity,obss-intensity-qualification-p17,17,21037,1,str_mlo_nmaxinflights_1,374e60989154b57c0657,1800,852,948,948,0.5266666666666666,21824.81611111111,True,32202.45,5934880.0,73.19664
fixed,obss_intensity,obss-intensity-qualification-p17,17,21037,1,score_aware_t2_v2,adaa733e5f0ad6c2255f,1800,946,854,854,0.47444444444444445,20685.735,True,32565.149999999994,6234331.0,74.68288
fixed,obss_intensity,obss-intensity-qualification-p17,17,21037,1,distributional_shadow_t2,16da7be60e94ec44212e,1800,940,860,860,0.4777777777777778,20737.816666666666,True,32463.760000000002,6288155.0,74.64256
fixed,obss_intensity,obss-intensity-qualification-p17,17,21038,1,str_mlo_nmaxinflights_1,277e8ac9f98bb63902d3,1800,430,1370,1370,0.7611111111111111,28240.653333333332,True,32747.97999999999,7745931.0,75.5552
fixed,obss_intensity,obss-intensity-qualification-p17,17,21038,1,score_aware_t2_v2,04add1cabc540c207727,1800,379,1421,1421,0.7894444444444444,29014.16611111111,True,32445.959999999995,7371408.0,75.22848
fixed,obss_intensity,obss-intensity-qualification-p17,17,21038,1,distributional_shadow_t2,8f1c8012d37abe19b7a3,1800,406,1394,1394,0.7744444444444445,28776.739444444444,True,32386.399999999998,7723478.0,75.3312
fixed,obss_intensity,obss-intensity-qualification-p17,17,21039,1,str_mlo_nmaxinflights_1,823e021bc9f34dfb16ae,1800,465,1335,1335,0.7416666666666667,27993.44,True,32382.520000000004,5408570.0,70.70032
fixed,obss_intensity,obss-intensity-qualification-p17,17,21039,1,score_aware_t2_v2,fd31d7828880b3849d0d,1800,630,1170,1170,0.65,25985.805,True,32311.15000000001,5437731.0,70.37616
fixed,obss_intensity,obss-intensity-qualification-p17,17,21039,1,distributional_shadow_t2,7889bac5ae485dc001c9,1800,630,1170,1170,0.65,25998.976666666666,True,32311.15000000001,5183225.0,70.43744
fixed,obss_intensity,obss-intensity-qualification-p17,17,21040,1,str_mlo_nmaxinflights_1,75673e48baed381d2775,1800,262,1538,1538,0.8544444444444445,30276.070555555554,True,32655.159999999996,5157989.0,71.0472
fixed,obss_intensity,obss-intensity-qualification-p17,17,21040,1,score_aware_t2_v2,78c1a837b9f2d5686cd4,1800,1210,590,590,0.3277777777777778,16730.129444444443,True,31732.77000000001,6909059.0,63.00784
fixed,obss_intensity,obss-intensity-qualification-p17,17,21040,1,distributional_shadow_t2,a22eb9c7b1727eef28b2,1800,1212,588,588,0.32666666666666666,16799.312777777777,True,31745.920000000013,7088819.0,62.58384
fixed,obss_intensity,obss-intensity-qualification-p18,18,21041,1,str_mlo_nmaxinflights_1,318ba779f4aa734fd3c0,1800,1799,1,1,0.0005555555555555556,2715.9088888888887,True,17890.81999999998,3422886.0,40.88688
fixed,obss_intensity,obss-intensity-qualification-p18,18,21041,1,score_aware_t2_v2,ff4fe4abb0e591bfd774,1800,1797,3,3,0.0016666666666666668,2484.4211111111113,True,13735.479999999996,3356875.0,40.8824
fixed,obss_intensity,obss-intensity-qualification-p18,18,21041,1,distributional_shadow_t2,c39e701a67be31938564,1800,1799,1,1,0.0005555555555555556,2350.7244444444445,True,11711.439999999997,3772424.0,40.88352
fixed,obss_intensity,obss-intensity-qualification-p18,18,21042,1,str_mlo_nmaxinflights_1,ea5ed42e9cf0b6a27dda,1800,1628,172,172,0.09555555555555556,8941.125555555556,True,30300.460000000014,5919225.0,40.13072
fixed,obss_intensity,obss-intensity-qualification-p18,18,21042,1,score_aware_t2_v2,5739c4a1a126fcd3616b,1800,1527,273,273,0.15166666666666667,11646.726111111111,True,31473.839999999997,7414698.0,40.12592
fixed,obss_intensity,obss-intensity-qualification-p18,18,21042,1,distributional_shadow_t2,505eab239cf0e2fa20a1,1800,1536,264,264,0.14666666666666667,11506.761666666667,True,31495.500000000015,7628890.0,40.12496
fixed,obss_intensity,obss-intensity-qualification-p18,18,21043,1,str_mlo_nmaxinflights_1,0ec3c5e9256c069a483a,1800,1784,16,16,0.008888888888888889,3659.087777777778,True,22260.91000000004,3918347.0,42.11088
fixed,obss_intensity,obss-intensity-qualification-p18,18,21043,1,score_aware_t2_v2,32a1837eac8df12b3e4b,1800,1766,34,34,0.01888888888888889,4910.58,True,26440.549999999876,5119109.0,41.60608
