family_id,scenario_id,mode,arm_id,all_generated_deadline_miss_rate,sender_airtime_us,background_throughput_mbps,all_generated_censored_mean_us
obss_intensity,obss-intensity-qualification-p20,fixed,str_mlo_nmaxinflights_1,0.9234722222222222,4321214.0,72.32836,31709.88597222222
obss_intensity,obss-intensity-qualification-p20,fixed,score_aware_t2_v2,0.925,4296437.25,71.426,31828.125
obss_intensity,obss-intensity-qualification-p20,fixed,distributional_shadow_t2,0.9302777777777778,4140200.5,71.72744,31924.139166666668
obss_intensity,obss-intensity-qualification-p20,adaptive,str_mlo_nmaxinflights_1,0.9543055555555555,4940728.5,71.13532000000001,32430.765694444446
obss_intensity,obss-intensity-qualification-p20,adaptive,score_aware_t2_v2,0.9686111111111111,4547447.5,71.07004,32708.765277777777
obss_intensity,obss-intensity-qualification-p20,adaptive,distributional_shadow_t2,0.9758333333333333,4543681.75,71.14565999999999,32847.00277777778
obss_intensity,obss-intensity-qualification-p21,fixed,str_mlo_nmaxinflights_1,0.03,4882158.5,39.250929066666664,5865.957361111112
obss_intensity,obss-intensity-qualification-p21,fixed,score_aware_t2_v2,0.03708333333333333,5858641.5,39.25053653333333,6449.395416666666
obss_intensity,obss-intensity-qualification-p21,fixed,distributional_shadow_t2,0.035416666666666666,5997649.0,39.25078186666667,6468.757083333334
obss_intensity,obss-intensity-qualification-p21,adaptive,str_mlo_nmaxinflights_1,0.029166666666666667,4013850.25,39.254020266666664,5122.678472222222
obss_intensity,obss-intensity-qualification-p21,adaptive,score_aware_t2_v2,0.0475,4980563.5,39.25068373333333,5922.839444444445
obss_intensity,obss-intensity-qualification-p21,adaptive,distributional_shadow_t2,0.03805555555555556,5152985.0,39.25078186666667,5634.379027777777
obss_intensity,obss-intensity-qualification-p22,fixed,str_mlo_nmaxinflights_1,0.08180555555555556,5123194.0,46.06457173333333,7940.440277777778
obss_intensity,obss-intensity-qualification-p22,fixed,score_aware_t2_v2,0.10347222222222222,5967264.25,46.06466986666667,8612.539166666666
obss_intensity,obss-intensity-qualification-p22,fixed,distributional_shadow_t2,0.09513888888888888,6257024.25,46.0643264,8390.513194444444
obss_intensity,obss-intensity-qualification-p22,adaptive,str_mlo_nmaxinflights_1,0.09138888888888888,4484133.25,46.06290346666667,7606.941666666667
obss_intensity,obss-intensity-qualification-p22,adaptive,score_aware_t2_v2,0.11055555555555556,5538068.0,46.060597333333334,8334.140138888888
obss_intensity,obss-intensity-qualification-p22,adaptive,distributional_shadow_t2,0.10722222222222222,5863221.5,46.06275626666667,8107.527083333333
obss_intensity,obss-intensity-qualification-p23,fixed,str_mlo_nmaxinflights_1,0.021666666666666667,4052644.25,18.1049,3916.8386111111113
obss_intensity,obss-intensity-qualification-p23,fixed,score_aware_t2_v2,0.025277777777777777,4712393.5,18.1053,4262.7425
obss_intensity,obss-intensity-qualification-p23,fixed,distributional_shadow_t2,0.02388888888888889,4874983.75,18.10538,4184.404583333333
obss_intensity,obss-intensity-qualification-p23,adaptive,str_mlo_nmaxinflights_1,0.03111111111111111,3634206.25,18.10418,3935.3893055555554
obss_intensity,obss-intensity-qualification-p23,adaptive,score_aware_t2_v2,0.03138888888888889,4395382.25,18.10594,4114.835972222222
obss_intensity,obss-intensity-qualification-p23,adaptive,distributional_shadow_t2,0.03097222222222222,4525890.0,18.1059,4102.8694444444445
obss_geometry_mac,obss-geometry-mac-qualification-p16,fixed,str_mlo_nmaxinflights_1,0.005138888888888889,3975667.75,26.6244,3293.5422222222223
obss_geometry_mac,obss-geometry-mac-qualification-p16,fixed,score_aware_t2_v2,0.005694444444444445,4452860.0,26.61916,3499.2797222222225
obss_geometry_mac,obss-geometry-mac-qualification-p16,fixed,distributional_shadow_t2,0.004583333333333333,4640043.25,26.61916,3365.471805555556
obss_geometry_mac,obss-geometry-mac-qualification-p16,adaptive,str_mlo_nmaxinflights_1,0.008611111111111111,3300499.5,26.62488,3018.6843055555555
obss_geometry_mac,obss-geometry-mac-qualification-p16,adaptive,score_aware_t2_v2,0.009722222222222222,3607993.5,26.62456,3049.581388888889
obss_geometry_mac,obss-geometry-mac-qualification-p16,adaptive,distributional_shadow_t2,0.008611111111111111,3783041.25,26.62456,2921.4162499999998
obss_geometry_mac,obss-geometry-mac-qualification-p17,fixed,str_mlo_nmaxinflights_1,0.002361111111111111,3848751.25,26.66572,2966.4063888888886
obss_geometry_mac,obss-geometry-mac-qualification-p17,fixed,score_aware_t2_v2,0.0018055555555555557,4440771.75,26.66572,3252.512083333333
obss_geometry_mac,obss-geometry-mac-qualification-p17,fixed,distributional_shadow_t2,0.0020833333333333333,4558770.5,26.66572,3234.8720833333336
obss_geometry_mac,obss-geometry-mac-qualification-p17,adaptive,str_mlo_nmaxinflights_1,0.0043055555555555555,3347099.25,26.66572,2758.2648611111113
obss_geometry_mac,obss-geometry-mac-qualification-p17,adaptive,score_aware_t2_v2,0.004722222222222222,4058696.5,26.665680000000002,2989.7768055555557
obss_geometry_mac,obss-geometry-mac-qualification-p17,adaptive,distributional_shadow_t2,0.004861111111111111,4182386.25,26.665680000000002,2983.837777777778
obss_geometry_mac,obss-geometry-mac-qualification-p18,fixed,str_mlo_nmaxinflights_1,0.008194444444444445,4033800.5,26.52368,3623.177777777778
obss_geometry_mac,obss-geometry-mac-qualification-p18,fixed,score_aware_t2_v2,0.00875,5023189.25,26.52368,4197.417777777778
obss_geometry_mac,obss-geometry-mac-qualification-p18,fixed,distributional_shadow_t2,0.014305555555555556,5056022.25,26.52368,4460.789027777778
obss_geometry_mac,obss-geometry-mac-qualification-p18,adaptive,str_mlo_nmaxinflights_1,0.014027777777777778,3736913.25,26.52368,3579.085972222222
obss_geometry_mac,obss-geometry-mac-qualification-p18,adaptive,score_aware_t2_v2,0.015277777777777777,4887878.75,26.52248,3995.2770833333334
obss_geometry_mac,obss-geometry-mac-qualification-p18,adaptive,distributional_shadow_t2,0.02388888888888889,4857984.75,26.52248,4388.991527777778
obss_geometry_mac,obss-geometry-mac-qualification-p19,fixed,str_mlo_nmaxinflights_1,0.011388888888888888,4625467.5,26.86904,4531.269027777778
obss_geometry_mac,obss-geometry-mac-qualification-p19,fixed,score_aware_t2_v2,0.010555555555555556,5244498.0,26.86652,4643.374305555555
obss_geometry_mac,obss-geometry-mac-qualification-p19,fixed,distributional_shadow_t2,0.011527777777777777,5441212.75,26.86716,4647.327222222222
obss_geometry_mac,obss-geometry-mac-qualification-p19,adaptive,str_mlo_nmaxinflights_1,0.01611111111111111,3702020.25,26.8686,4010.1744444444444
