run_id,seed,topology,policy,label,deadline_miss_ratio,redundant_byte_ratio,max_miss_burst,p95_miss_burst,secondary_airtime_fraction,adaptive_actions,actions_t0,actions_t1,actions_t2,actions_t4
01e1f7e89377a7990ed5,16,mlo_str,fixed_link_0,MLO,0.00666666666667,0,2,1.5,0.0,0,0,0,0,0
037c2efd0bc848f4dd5f,7,dual_interface,selective_duplication,Selective 0.20,0.00777777777778,0.0115062761506,2,2.0,0.000953226666667,0,0,0,0,0
04122e07a50b6e6b1bff,6,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0,0.158129175947,0,0.0,0.01937718,352,64,69,142,77
0689eded5f1f4b148221,30,mlo_str,fixed_link_0,MLO,0.005,0,1,1.0,0.0,0,0,0,0,0
09e973c7a700100e2b01,22,mlo_str,fixed_link_0,MLO,0,0,0,0.0,0.0,0,0,0,0,0
0d5cc2817a641907a496,23,dual_interface,fixed_link_1,Single 5 GHz,0.0222222222222,0,2,2.0,0.0,0,0,0,0,0
0f0d9238769ca3354c9d,21,mlo_str,fixed_link_0,MLO,0.00333333333333,0,1,1.0,0.0,0,0,0,0,0
152b668c1afa7f18728a,12,dual_interface,fixed_link_1,Single 5 GHz,0.03,0,4,3.299999999999997,0.0,0,0,0,0,0
17f54eb0c835794f4f7c,20,mlo_str,fixed_link_0,MLO,0.00666666666667,0,2,1.5,0.0,0,0,0,0,0
1bf5f6b4b2b5e3637a24,5,mlo_str,fixed_link_0,MLO,0.0172222222222,0,4,2.0,0.0,0,0,0,0,0
1dfc9746c91afc097a9e,28,dual_interface,full_duplication,Full duplication,0,0.5,0,0.0,0.07663772,0,0,0,0,0
1eff1aa4d199909839a6,7,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.00333333333333,0.210196406185,1,1.0,0.01935504,500,62,42,228,168
1fce14bd3121f4bbfbdf,13,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0,0.191616766467,0,0.0,0.0194855,448,201,157,78,12
2065b684c156ef9ee765,27,dual_interface,selective_duplication,Selective 0.20,0.0416666666667,0.0440060698027,3,2.0,0.00556549333333,0,0,0,0,0
20f213ee1ea3df693796,15,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0,0.252373417722,0,0.0,0.0193973733333,635,171,170,237,57
21591fc74ac3e5c905e5,8,dual_interface,selective_duplication,Selective 0.20,0.00166666666667,0.00473933649289,1,1.0,0.00040832,0,0,0,0,0
22df38bd7d0af5b80499,8,dual_interface,full_duplication,Full duplication,0.000555555555556,0.5,1,1.0,0.0740908,0,0,0,0,0
251b4d654879b7974832,7,mlo_str,fixed_link_0,MLO,0.005,0,2,1.6499999999999995,0.0,0,0,0,0,0
266d6e5a7d8bb7f16649,20,dual_interface,adaptive_airtime_duplication,Adaptive airtime,0.005,0.201858108108,1,1.0,0.0194295666667,475,51,31,253,140
2695489a1aaa71e00594,27,mlo_str,fixed_link_0,MLO,0.0311111111111,0,4,3.0,0.0,0,0,0,0,0
