family_id,scenario_id,parameter_sample,seed,run,arm_id,run_id,generated_frame_count,completed_frame_count,incomplete_frame_count,deadline_miss_count,all_generated_deadline_miss_rate,completed_frame_hf7_p99_supported,completed_frame_hf7_p99_us,sender_airtime_us,background_throughput_mbps
radio_propagation,radio-propagation-qualification-p19,19,21016,1,str_mlo_nmaxinflights_1,89aed42efbb08eefcfe1,1800,1788,12,12,0.006666666666666667,1,19414.48999999999,4382206.0,27.52672
radio_propagation,radio-propagation-qualification-p19,19,21016,1,score_aware_t2_v2,a5ce2ac110fc982e58e6,1800,1787,13,13,0.007222222222222222,1,21114.73999999988,5554182.0,27.52544
radio_propagation,radio-propagation-qualification-p19,19,21016,1,distributional_shadow_t2,e9442e810171618406b6,1800,1786,14,14,0.0077777777777777776,1,22395.15000000003,5563284.0,27.52544
radio_propagation,radio-propagation-qualification-p20,20,21017,1,str_mlo_nmaxinflights_1,5685b9d56dc6f7d7fb81,1800,1757,43,43,0.02388888888888889,1,24276.080000000005,5029210.0,27.31488
radio_propagation,radio-propagation-qualification-p20,20,21017,1,score_aware_t2_v2,448e48b1cca53af14743,1800,1795,5,5,0.002777777777777778,1,19113.87999999999,4951450.0,27.30928
radio_propagation,radio-propagation-qualification-p20,20,21017,1,distributional_shadow_t2,88387f92242bcd931ed7,1800,1796,4,4,0.0022222222222222222,1,16668.94999999999,5414760.0,27.30928
radio_propagation,radio-propagation-qualification-p20,20,21018,1,str_mlo_nmaxinflights_1,07b9055c737d47fdd861,1800,1680,120,120,0.06666666666666667,1,29535.510000000006,6572716.0,26.6176
radio_propagation,radio-propagation-qualification-p20,20,21018,1,score_aware_t2_v2,9183fb9633bdf84d1814,1800,1644,156,156,0.08666666666666667,1,29820.399999999998,7457208.0,26.60976
radio_propagation,radio-propagation-qualification-p20,20,21018,1,distributional_shadow_t2,eaa82dfa10cbae035f4c,1800,1685,115,115,0.06388888888888888,1,29990.52000000002,7867339.0,26.60848
radio_propagation,radio-propagation-qualification-p20,20,21019,1,str_mlo_nmaxinflights_1,d75ad1602644a8b70618,1800,1758,42,42,0.023333333333333334,1,25865.210000000054,5810251.0,26.66112
radio_propagation,radio-propagation-qualification-p20,20,21019,1,score_aware_t2_v2,87e3d980719bbd841679,1800,1752,48,48,0.02666666666666667,1,27387.91,7239749.0,26.65952
radio_propagation,radio-propagation-qualification-p20,20,21019,1,distributional_shadow_t2,38dc033a4b8966ac1f15,1800,1760,40,40,0.022222222222222223,1,27449.520000000004,7349149.0,26.65632
radio_propagation,radio-propagation-qualification-p20,20,21020,1,str_mlo_nmaxinflights_1,86c2a5aade2cb84a3acd,1800,1504,296,296,0.16444444444444445,1,31849.410000000007,9936995.0,25.9944
radio_propagation,radio-propagation-qualification-p20,20,21020,1,score_aware_t2_v2,5a938c649a3512563037,1800,1393,407,407,0.22611111111111112,1,31671.99999999995,12878820.0,25.9952
radio_propagation,radio-propagation-qualification-p20,20,21020,1,distributional_shadow_t2,9466e49d79c60fe1ebc2,1800,1470,330,330,0.18333333333333332,1,31125.769999999982,13347231.0,25.9952
