analysis,bin,calibration_error,count,degradation_profile,effective_bin_count,feature_set,link,mean_probability,model,observed_miss_rate,partition,pipeline_type,probability_max,probability_min,requested_bin_count,sample_offset_us,scenario_id,stage
per_link,0,0.06467464252696772,35400,,2,F0,0,0.1107987645222776,logistic_regression,0.04757062146892655,in_distribution_test,model,0.11079876452227759,0.11079876452227759,10,0,,T0
per_link,1,0.06467464252696772,600,,2,F0,0,0.23668477813701788,logistic_regression,0.08666666666666667,in_distribution_test,model,0.23668477813701785,0.23668477813701785,10,0,,T0
per_link,0,0.10028112400844923,42480,,2,F0,0,0.11079876452227762,logistic_regression,0.01198210922787194,ood:obss_only,model,0.11079876452227759,0.11079876452227759,10,0,obss_only,T0
per_link,1,0.10028112400844923,720,,2,F0,0,0.23668477813701788,logistic_regression,0.05,ood:obss_only,model,0.23668477813701785,0.23668477813701785,10,0,obss_only,T0
per_link,0,0.035691098213773,42480,,2,F0,0,0.11079876452227762,logistic_regression,0.14653954802259886,ood:obss_plus_legacy_mixed8,model,0.11079876452227759,0.11079876452227759,10,0,obss_plus_legacy_mixed8,T0
per_link,1,0.035691098213773,720,,2,F0,0,0.23668477813701788,logistic_regression,0.26944444444444443,ood:obss_plus_legacy_mixed8,model,0.23668477813701785,0.23668477813701785,10,0,obss_plus_legacy_mixed8,T0
per_link,0,0.005850206093808097,3598,,10,F0+F1-ideal,0,6.624464870988207e-05,histogram_gradient_boosting,0.0,in_distribution_test,model,8.711362885621037e-05,4.509134212814409e-05,10,0,,T0
per_link,1,0.005850206093808097,3629,,10,F0+F1-ideal,0,9.884405073594434e-05,histogram_gradient_boosting,0.0,in_distribution_test,model,0.00012458359925445367,8.717601672369005e-05,10,0,,T0
per_link,2,0.005850206093808097,3569,,10,F0+F1-ideal,0,0.00017518695131438648,histogram_gradient_boosting,0.0002801905295601009,in_distribution_test,model,0.0002322897163125444,0.00012465410904344425,10,0,,T0
per_link,3,0.005850206093808097,3604,,10,F0+F1-ideal,0,0.0004452631477370681,histogram_gradient_boosting,0.0002774694783573807,in_distribution_test,model,0.0007587393064178508,0.0002327380876674176,10,0,,T0
per_link,4,0.005850206093808097,3598,,10,F0+F1-ideal,0,0.0012958277280324432,histogram_gradient_boosting,0.00027793218454697053,in_distribution_test,model,0.002026275904758135,0.000758915221001358,10,0,,T0
