analysis,average_precision,brier_score,calibration_error,degradation_profile,effective_calibration_bin_count,eligible_frames,eligible_misses,feature_set,link,model,partition,pipeline_type,prevalence,requested_calibration_bin_count,roc_auc,sample_offset_us,scenario_id,stage,subgroup_dimension,subgroup_value
per_link,0.2769405137314,0.010915119881881872,0.005273249807263108,,10,43200,545,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8260946424212182,0,obss_only,T0,,
per_link,0.6612640963431073,0.10186581960037952,0.09508365224502277,,10,43200,6419,F0+F1-ideal+F2,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8949260054667559,0,obss_plus_legacy_mixed8,T0,,
per_link,0.4444430418337343,0.034272875762282495,0.005496361229315594,,10,36000,1736,F0+F1-ideal+F2-exportable,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9217837879985282,0,,T0,,
per_link,0.2769405137314,0.010915119881881872,0.005273249807263108,,10,43200,545,F0+F1-ideal+F2-exportable,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8260946424212182,0,obss_only,T0,,
per_link,0.6612640963431073,0.10186581960037952,0.09508365224502277,,10,43200,6419,F0+F1-ideal+F2-exportable,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8949260054667559,0,obss_plus_legacy_mixed8,T0,,
per_link,0.45992929018774,0.0337365121938594,0.005701870907360145,,10,36000,1736,F0+F1-ideal+F2+F3,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9225429045250164,0,,T0,,
per_link,0.28890911763473653,0.010723018346466573,0.005706859599303011,,10,43200,545,F0+F1-ideal+F2+F3,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.86119774723378,0,obss_only,T0,,
per_link,0.6715480489934801,0.09575328210100069,0.08744844408779204,,10,43200,6419,F0+F1-ideal+F2+F3,0,histogram_gradient_boosting,ood:obss_plus_legacy_mixed8,model,0.14858796296296295,10,0.8992629325072286,0,obss_plus_legacy_mixed8,T0,,
per_link,0.4285659355035468,0.03474770643131475,0.006298197168025136,,10,36000,1736,F0+F1-polling-1ms,0,histogram_gradient_boosting,in_distribution_test,model,0.04822222222222222,10,0.9190772687621516,0,,T0,,
per_link,0.2328947802198451,0.011103277580072492,0.0034110827274699018,,10,43200,545,F0+F1-polling-1ms,0,histogram_gradient_boosting,ood:obss_only,model,0.012615740740740742,10,0.8194627473036815,0,obss_only,T0,,
