absolute_action_rate_deviation,analysis,budget,calibration_miss_recall_at_threshold,calibration_precision_at_threshold,calibration_score_threshold,calibration_threshold_mode,degradation_profile,eligible_frames,eligible_misses,expected_topk_true_positives,feature_set,k,link,model,observed_calibration_action_rate,observed_test_action_rate,partition,pipeline_type,precision,recall,sample_offset_us,scenario_id,source_link,stage,status,subgroup_dimension,subgroup_value,target_budget,test_miss_recall_at_calibration_threshold,test_precision_at_calibration_threshold,tie_precision_lower,tie_precision_upper,tie_recall_lower,tie_recall_upper,topk_cutoff_score,topk_strict_count,topk_tie_count,topk_tie_slots
0.010342748014875877,per_link,0.1,0.24311023622047245,0.5538116591928252,0.3571827248935814,numeric,,17137,1736,560.5540540540541,,1714,0,byte_service_queue_slack,0.08965725198512413,0.062204586567077086,in_distribution_test,heuristic,0.3270443722602416,0.3228998007223814,2000,,,T2,ok,,,0.1,0.18029953917050692,0.29362101313320826,0.31971995332555425,0.33430571761960326,0.315668202764977,0.33006912442396313,1.2766093123771787,1443,888,271
0.017308272188159612,per_link,0.2,0.5088582677165354,0.4782608695652174,0.23044424211835934,numeric,,17137,1736,849.4965846022485,,3428,0,byte_service_queue_slack,0.21730827218815962,0.13602147400361791,in_distribution_test,heuristic,0.24781113903216118,0.4893413505773321,2000,,,T2,ok,,,0.2,0.44297235023041476,0.3299013299013299,0.24387397899649943,0.25204200700116686,0.4815668202764977,0.4976958525345622,0.6383046561885893,2517,14054,911
0.006880088451100615,per_link,0.05,0.1579724409448819,0.7482517482517482,0.47454923748511224,numeric,,23347,545,111.03092783505154,,1168,0,byte_service_queue_slack,0.04311991154889939,0.020388058422923717,ood:obss_only,heuristic,0.09506072588617427,0.2037264730918377,2000,obss_only,,T2,ok,,,0.05,0.15045871559633028,0.1722689075630252,0.09075342465753425,0.09931506849315068,0.1944954128440367,0.21284403669724772,2.5532186247543573,478,970,690
0.010342748014875877,per_link,0.1,0.24311023622047245,0.5538116591928252,0.3571827248935814,numeric,,23347,545,202.72018004501126,,2335,0,byte_service_queue_slack,0.08965725198512413,0.06613269370797105,ood:obss_only,heuristic,0.08681806425910546,0.3719636331101124,2000,obss_only,,T2,ok,,,0.1,0.25504587155963304,0.0900259067357513,0.08650963597430407,0.08779443254817987,0.3706422018348624,0.3761467889908257,0.9574569842828842,2271,1333,64
0.017308272188159612,per_link,0.2,0.5088582677165354,0.4782608695652174,0.23044424211835934,numeric,,23347,545,299.7541678179976,,4670,0,byte_service_queue_slack,0.21730827218815962,0.09590097228766009,ood:obss_only,heuristic,0.06418718796959264,0.5500076473724727,2000,obss_only,,T2,ok,,,0.2,0.363302752293578,0.0884323358642251,0.06274089935760171,0.06573875802997858,0.5376146788990825,0.563302752293578,0.6383046561885893,3877,10857,793
0.006880088451100615,per_link,0.05,0.1579724409448819,0.7482517482517482,0.47454923748511224,numeric,,29851,6418,834.1614227086184,,1493,0,byte_service_queue_slack,0.04311991154889939,0.07232588522997555,ood:obss_plus_legacy_mixed8,heuristic,0.5587149515797846,0.12997217555447466,2000,obss_plus_legacy_mixed8,,T2,ok,,,0.05,0.17731380492365223,0.5270958777211672,0.550569323509712,0.5666443402545212,0.1280772826425678,0.13181676534746026,3.191523280942947,1233,731,260
0.010342748014875877,per_link,0.1,0.24311023622047245,0.5538116591928252,0.3571827248935814,numeric,,29851,6418,1383.9819277108434,,2986,0,byte_service_queue_slack,0.08965725198512413,0.12264245753911092,ood:obss_plus_legacy_mixed8,heuristic,0.4634902638013541,0.21564068677326945,2000,obss_plus_legacy_mixed8,,T2,ok,,,0.1,0.26768463695855405,0.4692706910680142,0.4611520428667113,0.4658405894172806,0.2145528201932066,0.2167341851043939,2.5532186247543573,2233,830,753
0.017308272188159612,per_link,0.2,0.5088582677165354,0.4782608695652174,0.23044424211835934,numeric,,29851,6418,3053.044476327116,,5971,0,byte_service_queue_slack,0.21730827218815962,0.20317577300592946,ood:obss_plus_legacy_mixed8,heuristic,0.5113120878122787,0.4757002923538666,2000,obss_plus_legacy_mixed8,,T2,ok,,,0.2,0.4833281396073543,0.5114591920857379,0.5097973538770725,0.5128119243007871,0.47429105640386415,0.4770956684325335,1.2766093123771787,5368,697,603
4.523067644989637e-05,per_link,0.05,0.04921259842519685,0.2012072434607646,0.20524846525178408,numeric,,17137,1736,110.0,,857,0,packet_count_additive_baseline,0.049954769323550106,0.023808134445935696,in_distribution_test,heuristic,0.12835472578763127,0.06336405529953917,2000,,,T2,ok,,,0.05,0.03398617511520737,0.14460784313725492,0.12835472578763127,0.12835472578763127,0.06336405529953917,0.06336405529953917,8.459798812866211,856,1,1
1.0051261433302594e-05,per_link,0.1,0.09301181102362205,0.1899497487437186,0.20472424294109912,numeric,,17137,1736,200.0,,1714,0,packet_count_additive_baseline,0.10001005126143331,0.05479372118807259,in_distribution_test,heuristic,0.11668611435239207,0.1152073732718894,2000,,,T2,ok,,,0.1,0.06854838709677419,0.12673056443024494,0.11668611435239207,0.11668611435239207,0.1152073732718894,0.1152073732718894,5.535522937774658,1713,1,1
0.0002814353201326947,per_link,0.2,0.25246062992125984,0.25817815802717664,0.20389045630863548,numeric,,17137,1736,739.2986536107711,,3428,0,packet_count_additive_baseline,0.19971856467986732,0.12312540117873606,in_distribution_test,heuristic,0.2156647180894898,0.42586327972970683,2000,,,T2,ok,,,0.2,0.17799539170506912,0.14644549763033177,0.21236872812135357,0.2190781796966161,0.41935483870967744,0.4326036866359447,1.0749975442886353,3225,817,203
4.523067644989637e-05,per_link,0.05,0.04921259842519685,0.2012072434607646,0.20524846525178408,numeric,,23347,545,165.06857142857143,,1168,0,packet_count_additive_baseline,0.049954769323550106,0.006253480104510215,ood:obss_only,heuristic,0.14132583170254404,0.3028781127129751,2000,obss_only,,T2,ok,,,0.05,0.06605504587155964,0.2465753424657534,0.136986301369863,0.14554794520547945,0.29357798165137616,0.3119266055045872,2.1499950885772705,912,700,256
1.0051261433302594e-05,per_link,0.1,0.09301181102362205,0.1899497487437186,0.20472424294109912,numeric,,23347,545,290.11698113207547,,2335,0,packet_count_additive_baseline,0.10001005126143331,0.015162547650661756,ood:obss_only,heuristic,0.12424710112722719,0.5323247360221568,2000,obss_only,,T2,ok,,,0.1,0.13761467889908258,0.211864406779661,0.12334047109207709,0.12548179871520343,0.5284403669724771,0.5376146788990825,0.5374987721443176,2230,9275,105
0.0002814353201326947,per_link,0.2,0.25246062992125984,0.25817815802717664,0.20389045630863548,numeric,,23347,545,337.1946091644205,,4670,0,packet_count_additive_baseline,0.19971856467986732,0.036535743350323384,ood:obss_only,heuristic,0.07220441309730632,0.618705704888845,2000,obss_only,,T2,ok,,,0.2,0.25137614678899084,0.16060961313012895,0.06980728051391863,0.0747323340471092,0.5981651376146789,0.6403669724770642,0.5374987721443176,2230,9275,2440
4.523067644989637e-05,per_link,0.05,0.04921259842519685,0.2012072434607646,0.20524846525178408,numeric,,29851,6418,677.0,,1493,0,packet_count_additive_baseline,0.049954769323550106,0.06636293591504472,ood:obss_plus_legacy_mixed8,heuristic,0.4534494306764903,0.10548457463384232,2000,obss_plus_legacy_mixed8,,T2,ok,,,0.05,0.13773761296354003,0.44623927309439676,0.4534494306764903,0.4534494306764903,0.10548457463384232,0.10548457463384232,13.628957748413086,1492,1,1
1.0051261433302594e-05,per_link,0.1,0.09301181102362205,0.1899497487437186,0.20472424294109912,numeric,,29851,6418,1244.0,,2986,0,packet_count_additive_baseline,0.10001005126143331,0.10425111386553214,ood:obss_plus_legacy_mixed8,heuristic,0.41661085063630277,0.1938298535369274,2000,obss_plus_legacy_mixed8,,T2,ok,,,0.1,0.2000623247117482,0.41259640102827766,0.41661085063630277,0.41661085063630277,0.1938298535369274,0.1938298535369274,8.300434112548828,2985,1,1
