evidence_partition,f2_exportable,feature,feature_set,link,manifest_tier,model,permutation_importance_mean,permutation_importance_std,stage
validation_selection,False,current_guard_interval_ns,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,current_mcs,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,current_nss,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,frequency_band,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,last_attempt_age_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.01129094203229423,0.0009945082767855024,T0
validation_selection,False,last_positive_ack_age_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0005951383175820668,0.0005844348500106973,T0
validation_selection,False,mpdu_attempt_failures_1ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.00022460148989341308,8.353889599656252e-05,T0
validation_selection,False,mpdu_attempt_failures_20ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0004081013330879957,4.478583886913417e-05,T0
validation_selection,False,mpdu_attempt_failures_5ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.00016026880338223157,6.492985821743455e-05,T0
validation_selection,False,mpdu_attempts_1ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_attempts_20ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,5.769195707468663e-05,5.037388620612155e-05,T0
validation_selection,False,mpdu_attempts_5ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0003716618055002637,5.643758633108534e-05,T0
validation_selection,False,mpdu_first_attempt_to_ack_mean_1ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_first_attempt_to_ack_mean_20ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0002472186427564897,0.00011839942899160366,T0
validation_selection,False,mpdu_first_attempt_to_ack_mean_5ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.00021095948707087567,0.00015866051364322857,T0
validation_selection,False,mpdu_first_attempt_to_ack_p95_1ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,2.5666586959978883e-05,2.4370311617253362e-05,T0
validation_selection,False,mpdu_first_attempt_to_ack_p95_20ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,-5.745574994072318e-06,8.737324769115522e-06,T0
validation_selection,False,mpdu_first_attempt_to_ack_p95_5ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,8.618053024878058e-06,0.0,T0
validation_selection,False,mpdu_lifetime_drops_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,4.1564171933313375e-05,1.8961453147244555e-05,T0
validation_selection,False,mpdu_positive_acks_1ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_positive_acks_20ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_positive_acks_5ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_positive_acks_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,-6.0225624775404425e-06,0.00026292770548097153,T0
validation_selection,False,mpdu_queue_drops_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.005506777462647901,0.000507002435095291,T0
validation_selection,False,mpdu_queue_to_ack_mean_1ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_queue_to_ack_mean_20ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,4.078732496592963e-05,1.3648286776800476e-05,T0
validation_selection,False,mpdu_queue_to_ack_mean_5ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,-6.7616920362834065e-06,0.0,T0
validation_selection,False,mpdu_queue_to_ack_p95_1ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_queue_to_ack_p95_20ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0003200629595504119,7.678620049268884e-05,T0
validation_selection,False,mpdu_queue_to_ack_p95_5ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_retries_1ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,5.608255660938255e-05,6.390438923344302e-05,T0
validation_selection,False,mpdu_retries_20ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.00048657521545144206,0.0002728165931698182,T0
validation_selection,False,mpdu_retries_5ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,-8.910592340046393e-05,4.007918233120853e-06,T0
validation_selection,False,mpdu_retries_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.01593435022375637,0.0014907530519494834,T0
validation_selection,False,mpdu_retry_limit_drops_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_retry_ratio_1ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
validation_selection,False,mpdu_retry_ratio_20ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,-9.783709279398423e-07,0.0,T0
validation_selection,False,mpdu_retry_ratio_5ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.00016033818472738215,0.0,T0
validation_selection,False,mpdu_terminal_drops_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,-0.00018931910095717117,0.0003867774356992374,T0
validation_selection,False,mpdu_tx_attempt_failures_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0002500489501175244,3.1277572762654415e-05,T0
validation_selection,False,mpdu_tx_attempts_total,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0012930805659516393,0.0005247471050883191,T0
validation_selection,False,phy_busy_fraction_1ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.002035354268106193,0.0007517886423669163,T0
validation_selection,False,phy_busy_fraction_20ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.01567023227982008,0.0030802463968249124,T0
validation_selection,False,phy_busy_fraction_5ms,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.006532834114090373,0.000800130338424799,T0
validation_selection,False,phy_busy_time_1ms_us,F0+F1-ideal+F2,1,F1-ideal,histogram_gradient_boosting,0.0,0.0,T0
