scope,group,comparison,deadline_miss_rate_delta_estimate,deadline_miss_rate_delta_ci95_low,deadline_miss_rate_delta_ci95_high,completed_frame_p99_delta_us_estimate,completed_frame_p99_delta_us_ci95_low,completed_frame_p99_delta_us_ci95_high,deadline_censored_mean_delta_us_estimate,deadline_censored_mean_delta_us_ci95_low,deadline_censored_mean_delta_us_ci95_high,sender_airtime_ratio_estimate,sender_airtime_ratio_ci95_low,sender_airtime_ratio_ci95_high,background_throughput_loss_estimate,background_throughput_loss_ci95_low,background_throughput_loss_ci95_high,measured_secondary_airtime_delta_us_estimate,measured_secondary_airtime_delta_us_ci95_low,measured_secondary_airtime_delta_us_ci95_high
within_profile,af41_vi_all_vi,distributional_shadow_t2_minus_str_mlo,-0.0016111111111111111,-0.0025555555555555557,-0.0007777777777777778,61.40700000000943,-1228.569349999989,1383.7169000000085,5.592333333333272,-122.8485666666667,128.58858333333322,1.11300987027456,1.0954742568849438,1.1290671223817677,-0.011679167342047103,-0.03079527860690194,-4.4223031102097555e-05,425915.64,392774.24,458195.407
within_profile,af41_vi_all_vi,distributional_shadow_t2_minus_score_aware_t2_v2,0.0,0.0,0.0,217.7300000000003,-122.84390000000073,617.0511750000011,4.966277777777714,-7.020343055555702,17.48533333333321,1.0214622932831292,1.0084495330437997,1.0388108627481392,-0.003947588887771802,-0.011980125023552878,3.664996110799012e-05,83786.4,35165.198,142865.4
profile_vs_be_be,af41_vi_be,str_mlo,-0.0064444444444444445,-0.008666666666666666,-0.004222222222222223,-12924.170999999995,-15119.007425000007,-10373.709574999986,-1531.1227777777776,-1906.3972847222221,-1135.5906319444446,0.9415522176999326,0.9072817079692524,0.9827658162992932,2.2653283742624097e-05,-7.752011945250104e-06,5.228742970211641e-05,0.0,0.0,0.0
profile_vs_be_be,af41_vi_be,score_aware_t2_v2,-0.005388888888888889,-0.007944444444444445,-0.002777777777777778,-8612.92000000001,-10955.295500000026,-6072.506400000007,-1480.2451111111109,-2011.4142402777775,-924.5236986111115,0.8573131326604272,0.8068851380819521,0.924344702743167,-7.750694730535024e-05,-0.00014613597270754508,-2.21478024398647e-05,-22141.480000000003,-62917.38500000001,20869.307999999986
profile_vs_be_be,af41_vi_be,distributional_shadow_t2,-0.005277777777777778,-0.00811111111111111,-0.0025,-8175.654999999994,-11093.370099999996,-5139.054825000006,-1455.2536666666667,-2023.6562194444448,-864.2233486111114,0.8578106181901194,0.813846780939843,0.9140195493576728,-7.273637832461155e-05,-0.00013145438705682854,-2.1531273862618334e-05,-59449.84000000001,-95371.55700000002,-26871.816000000006
profile_vs_be_be,af41_vi_one_vi_per_channel,str_mlo,-0.0064444444444444445,-0.008666666666666666,-0.004222222222222223,-12830.179999999995,-14943.163574999997,-10378.28187499999,-1514.5063333333333,-1888.188244444445,-1123.6829902777781,0.9443421616664247,0.9093160758765914,0.9855101656688855,-3.994131607232276e-05,-8.916481772039963e-05,9.605225242514948e-06,0.0,0.0,0.0
profile_vs_be_be,af41_vi_one_vi_per_channel,score_aware_t2_v2,-0.005388888888888889,-0.007944444444444445,-0.002777777777777778,-8740.39500000001,-11147.149950000014,-6129.865075000015,-1463.4869999999999,-1993.177161111111,-910.3320680555557,0.8622538122396259,0.8125621135227631,0.9290848017339677,-9.360454405338281e-05,-0.00015849415596090323,-2.8041769000886066e-05,-8388.8,-47173.69200000001,34341.66599999999
profile_vs_be_be,af41_vi_one_vi_per_channel,distributional_shadow_t2,-0.005277777777777778,-0.00811111111111111,-0.0025,-8362.376999999995,-11384.564349999993,-5280.563850000005,-1438.9841666666669,-2004.0356847222224,-852.4979569444451,0.8600331405850544,0.8162672662032493,0.9158649032583991,-8.406417494888352e-05,-0.00013646158310078315,-3.322591496336405e-05,-56303.2,-89750.04200000002,-25514.609000000015
profile_vs_be_be,af41_vi_all_vi,str_mlo,-0.004611111111111111,-0.006833333333333334,-0.002277777777777778,-7470.971000000006,-9719.250100000017,-5073.303750000003,-982.2422777777778,-1311.4221305555554,-638.8348680555555,0.9805459387726136,0.9548083171327889,1.0100174349633906,0.029061182346415304,0.004750228573198035,0.060913755264168215,0.0,0.0,0.0
profile_vs_be_be,af41_vi_all_vi,score_aware_t2_v2,-0.005166666666666667,-0.007666666666666667,-0.0026666666666666666,-5841.8550000000105,-8251.274850000023,-3238.238350000001,-1069.7289999999998,-1557.1589319444442,-557.3150652777781,0.9336996936547203,0.8789247549361136,1.0080920099548136,0.02147180923274683,0.0045137968259536315,0.03986033268963202,92247.36,29681.121000000003,165417.45399999994
profile_vs_be_be,af41_vi_all_vi,distributional_shadow_t2,-0.005055555555555555,-0.007833333333333335,-0.0023888888888888887,-5178.310999999995,-8121.090049999995,-2101.2099749999916,-1038.6362777777779,-1559.6518333333333,-494.58421111111153,0.9245884011529449,0.8791621710382798,0.9831620298154924,0.017621281948857925,-1.3819864673303428e-05,0.036445384246458566,27064.960000000003,1773.0390000000134,54603.78599999999
competitor_with_target_vi,af41_vi_one_vi_per_channel,str_mlo,0.0,0.0,0.0,93.99100000000007,-49.2195249999997,235.5585999999997,16.616444444444323,-0.2817013888890509,34.09550277777764,1.002963132489144,0.9969745848773169,1.0092674997322415,-6.259601782021562e-05,-0.00011863775525555731,-1.2640142313519177e-05,0.0,0.0,0.0
competitor_with_target_vi,af41_vi_one_vi_per_channel,score_aware_t2_v2,0.0,0.0,0.0,-127.47500000000036,-573.9931750000001,283.8362999999996,16.758111111111113,1.02763194444448,29.944441666666613,1.005762981331998,1.0011182711870872,1.0099033802330468,-1.6096349169325563e-05,-8.701674831132489e-05,4.4952681166710025e-05,13752.680000000004,3998.885000000006,23327.740999999987
competitor_with_target_vi,af41_vi_one_vi_per_channel,distributional_shadow_t2,0.0,0.0,0.0,-186.72200000000095,-644.1125000000017,239.10472499999906,16.269500000000015,0.9173319444446333,29.41184999999997,1.0025909243226951,0.9986963725103505,1.0063120734770565,-1.1326972741310115e-05,-6.321995519750211e-05,4.0101504245990124e-05,3146.640000000014,-2395.1689999999858,9594.876000000002
competitor_with_target_vi,af41_vi_all_vi,str_mlo,0.0018333333333333333,0.001,0.0027222222222222222,5453.19999999999,4682.7030249999925,6211.603374999991,548.8805,484.81189861111113,608.0421847222221,1.0414142947567335,1.023293360742532,1.0580268209157242,0.029039186895613023,0.004744535130096903,0.06087310402107675,0.0,0.0,0.0
competitor_with_target_vi,af41_vi_all_vi,score_aware_t2_v2,0.00022222222222222223,0.0,0.0005,2771.0649999999987,2502.1690999999996,3003.9148749999968,410.51611111111106,355.8198388888888,466.6693888888888,1.0890999543623567,1.0800788954822715,1.0980130080789035,0.021547646087782146,0.004627056676441315,0.03994825281561148,114388.84000000001,79711.958,151591.91599999997
competitor_with_target_vi,af41_vi_all_vi,distributional_shadow_t2,0.00022222222222222223,0.0,0.0005,2997.3439999999987,2485.2561999999984,3578.9506749999982,416.61738888888885,353.4264527777777,482.2878833333333,1.077846766578524,1.0664482595379903,1.0893682985106683,0.017692731421976138,9.467978578875387e-05,0.03653168474257519,86514.80000000002,57059.60100000002,132051.287
