candidate_ordinal,feature_family,signal,ranker,cost_normalized,frame_gate,requested_action_fraction,score_threshold,realized_action_fraction,dr_airtime_us_per_eligible_frame,dr_treat_none_deadline_miss,dr_policy_deadline_miss,dr_deadline_miss_benefit,deadline_miss_relative_improvement,dr_treat_none_completed_late18_numerator,dr_policy_completed_late18_numerator,dr_treat_none_completion_probability,dr_policy_completion_probability,dr_treat_none_completed_late18_ratio,dr_policy_completed_late18_ratio,completed_late18_relative_improvement,dr_treat_none_bad12,dr_policy_bad12,dr_bad12_benefit,balanced_min_relative_improvement,mean_relative_improvement,admissible,rejection_reason,source_frozen,selected
18,primary_base,deadline_value,deadline_value,0,all_frames,0.10000000000000001,0.069566607475280762,0.10001932740626208,274.73696883504232,0.020215760277452761,0.0054048327748059139,0.014810927502646848,0.73264261642268858,0.035515588448998006,0.022853735270786879,0.97978423972254713,0.99459516722519403,0.036248376947821924,0.02297792712440597,0.36609776604669031,0.1046070973176101,0.072483579225364261,0.03212351809224584,0.36609776604669031,0.54937019123468944,0,completed_late18_improvement,0,0
19,primary_base,deadline_value,deadline_value,0,all_frames,0.125,0.053201131522655487,0.1250483185156552,352.91756368239209,0.020215760277452761,0.0047150535819422169,0.015500706695510545,0.76676347971928338,0.035515588448998006,0.020841466745877734,0.97978423972254713,0.99528494641805765,0.036248376947821924,0.020940200915209584,0.42231341984353787,0.1046070973176101,0.067080161652871506,0.037526935664738588,0.42231341984353787,0.59453844978141057,0,completed_late18_improvement,0,0
20,primary_base,deadline_value,deadline_value,0,all_frames,0.14999999999999999,0.044554043561220169,0.15007730962504831,436.18073266829384,0.020215760277452761,0.0043304249579969173,0.015885335319455844,0.7857896562600829,0.035515588448998006,0.019310639830563314,0.97978423972254713,0.99566957504200293,0.036248376947821924,0.019394626806537384,0.46495185606640632,0.1046070973176101,0.063681865473359078,0.040925231844251016,0.46495185606640632,0.62537075616324467,0,assignment_airtime+completed_late18_improvement,0,0
21,primary_base,deadline_value,deadline_value,0,all_frames,0.16500000000000001,0.040284249931573868,0.16544259760340163,478.20903258790145,0.020215760277452761,0.0041208987861749494,0.016094861491277812,0.79615415252172783,0.035515588448998006,0.017820710958495346,0.97978423972254713,0.99587910121382495,0.036248376947821924,0.017894452184782885,0.50633783657289744,0.1046070973176101,0.060358978884390277,0.044248118433219824,0.50633783657289744,0.65124599454731258,0,assignment_airtime,0,0
22,primary_base,deadline_value,deadline_value,0,all_frames,0.17999999999999999,0.03785991296172142,0.18003478933127173,517.37734822063157,0.020215760277452761,0.0040073698285796738,0.016208390448873088,0.80177001638423595,0.035515588448998006,0.016023934075743446,0.97978423972254713,0.99599263017142026,0.036248376947821924,0.016088406269618247,0.55616202367413969,0.1046070973176101,0.057675141650533522,0.046931955667076579,0.55616202367413969,0.67896602002918782,0,assignment_airtime,0,0
23,primary_base,deadline_value,deadline_value,0,all_frames,0.20000000000000001,0.034592326730489731,0.20003865481252417,587.98906561190734,0.020215760277452761,0.003567992740784582,0.016647767536668179,0.82350439994264923,0.035515588448998006,0.014754078890047918,0.97978423972254713,0.99643200725921532,0.036248376947821924,0.014806909836859285,0.59151523230479441,0.1046070973176101,0.054710616280378793,0.049896481037231308,0.59151523230479441,0.70750981612372188,0,action_fraction+assignment_airtime,0,0
24,primary_base,deadline_value,deadline_value,0,p_frames_only,0.050000000000000003,0.12173745036125183,0.05005798221878624,117.28142949953923,0.020215760277452761,0.0085214232722659548,0.011694337005186807,0.57847624055128155,0.035515588448998006,0.025794855994526966,0.97978423972254713,0.99147857672773398,0.036248376947821924,0.026016554063790318,0.28226982131530753,0.1046070973176101,0.07988487845361375,0.024722218863996354,0.28226982131530753,0.43037303093329454,0,completed_late18_improvement,0,0
25,primary_base,deadline_value,deadline_value,0,p_frames_only,0.074999999999999997,0.091279424726963043,0.07508697332817936,184.42930247767714,0.020215760277452761,0.0072404642564366569,0.012975296021016105,0.6418406155858426,0.035515588448998006,0.023324716418889689,0.97978423972254713,0.99275953574356324,0.036248376947821924,0.023494829894955174,0.35183774079664221,0.1046070973176101,0.076030665869544614,0.028576431448065483,0.35183774079664221,0.4968391781912424,0,completed_late18_improvement,0,0
26,primary_base,deadline_value,deadline_value,0,p_frames_only,0.10000000000000001,0.063288301229476929,0.10001932740626208,229.0229713955697,0.020215760277452761,0.0060225515356304941,0.014193208741822267,0.70208632012976402,0.035515588448998006,0.021728513459235502,0.97978423972254713,0.99397744846436942,0.036248376947821924,0.021860167444245987,0.39693389649658478,0.1046070973176101,0.070867905021812824,0.033739192295797277,0.39693389649658478,0.54951010831317437,0,completed_late18_improvement,0,0
27,primary_base,deadline_value,deadline_value,0,p_frames_only,0.125,0.050355535000562668,0.1250483185156552,299.73621470020367,0.020215760277452761,0.0052817489289833913,0.01493401134846937,0.73873112579029332,0.035515588448998006,0.020140748168341174,0.97978423972254713,0.99471825107101652,0.036248376947821924,0.020247691390658171,0.44141798625069734,0.1046070973176101,0.065859692706726869,0.038747404610883239,0.44141798625069734,0.5900745560204953,0,completed_late18_improvement,0,0
