family_id,scenario_id,parameter_sample,seed,run,run_id,arm_id,generated_frames,completed_frames,incomplete_frames,late_completed_frames,deadline_misses,deadline_miss_rate,completed_p99_us,censored_mean_us,airtime_link_0_us,airtime_link_1_us,sender_airtime_us,background_bytes_received,actions,completed_actions,action_packets,build_host
compound_shift,compound-shift-qualification-p19,19,21174,1,4a74b0077f4356266765,ideal_systematic_fec_12p5_t2,1800,1341,459,0,459,0.255,31979.599999999988,15495.816111111111,1367090.0,6606256.0,7973346.0,171219600,1800,1667,3660,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21048,1,51016ab269ac17427848,single_5ghz_no_redundancy,1800,1382,418,0,418,0.23222222222222222,31368.260000000002,14033.770555555555,0.0,5372494.0,5372494.0,388594200,0,0,0,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21047,1,5340f5b623c7d8a48c91,full_copy_t2,1800,1731,69,0,69,0.03833333333333333,26160.900000000016,6746.439444444444,4276534.0,5749520.0,10026054.0,392337000,1800,1635,18900,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21039,1,569a03bc458c0d7491a0,full_copy_t2,1800,648,1152,0,1152,0.64,32281.449999999997,25836.221666666668,6193018.0,4975255.0,11168273.0,523593600,1800,26,18900,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21037,1,5a4fa7d49cc1071bec6c,ideal_systematic_fec_12p5_t2,1800,941,859,0,859,0.4772222222222222,32422.800000000003,20706.093333333334,1754797.0,5788091.0,7542888.0,559038000,1800,293,3690,wifi-exp-f2e354c
legacy_coexistence,legacy-coexistence-qualification-p17,17,21136,1,5d4a7fb92c2600f6d99a,full_copy_t0,1800,1201,599,0,599,0.3327777777777778,32293.0,18091.908888888887,7750902.0,6864302.0,14615204.0,207880800,1800,770,18900,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21133,1,5eb3c1f4b8611422b0ef,single_5ghz_no_redundancy,1800,576,1224,0,1224,0.68,32705.5,26549.389444444445,0.0,7308528.0,7308528.0,202177200,0,0,0,wifi-exp-f2e354c
compound_shift,compound-shift-qualification-p19,19,21174,1,5efb04043132b9081d00,full_copy_t0,1800,1719,81,0,81,0.045,28782.839999999997,7227.028888888889,6350451.0,6606256.0,12956707.0,171200400,1800,1527,20340,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21048,1,60f97a66adc8ed71b206,str_mlo_nmaxinflights_1,1800,1555,245,0,245,0.1361111111111111,30697.74,9918.570555555556,1495758.0,3175088.0,4670846.0,388939800,0,0,0,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21038,1,616ded8cc837fb679630,oracle_eventual_missing_repair_t2,1800,508,1292,0,1292,0.7177777777777777,32519.86,27793.675555555557,6126620.0,6926272.0,13052892.0,562275600,1433,141,14863,wifi-exp-17-30
radio_propagation,radio-propagation-qualification-p17,17,21008,1,6381459a40b6724b500b,ideal_systematic_fec_12p5_t2,1800,1490,310,0,310,0.17222222222222222,31891.22,14527.71611111111,1348604.0,11363669.0,12712273.0,197488800,1800,1767,3690,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21038,1,64f2510133ba2a731e82,ideal_systematic_fec_12p5_t2,1800,370,1430,0,1430,0.7944444444444444,32431.85,29163.30222222222,2670604.0,6926272.0,9596876.0,564318000,1800,362,3690,wifi-exp-17-30
compound_shift,compound-shift-qualification-p19,19,21176,1,656950349378a58ef23b,str_mlo_nmaxinflights_1,1800,1696,104,0,104,0.057777777777777775,26493.79999999997,6422.99,2554624.0,2143114.0,4697738.0,168229200,0,0,0,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p17,17,21039,1,65cb20081ec03e71b153,ideal_systematic_fec_12p5_t2,1800,632,1168,0,1168,0.6488888888888888,32307.84999999999,25976.835555555557,2535063.0,4975255.0,7510318.0,528232800,1800,129,3690,wifi-exp-f2e354c
compound_shift,compound-shift-qualification-p19,19,21175,1,66a5e13311c57d8e2750,str_mlo_nmaxinflights_1,1800,1664,136,0,136,0.07555555555555556,28336.53999999997,7089.967777777778,2506508.0,2345312.0,4851820.0,167535600,0,0,0,wifi-exp-f2e354c
radio_propagation,radio-propagation-qualification-p17,17,21006,1,6bfc3ea68e8f8e382da3,str_mlo_nmaxinflights_1,1800,1254,546,0,546,0.30333333333333334,32202.35,17871.673333333332,2074872.0,10663848.0,12738720.0,203253600,0,0,0,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21048,1,6d2cd50b759b22e0c059,ideal_systematic_fec_12p5_t2,1800,1388,412,0,412,0.2288888888888889,31814.51999999999,13854.919444444444,1299298.0,5372494.0,6671792.0,388465800,1800,1574,3690,wifi-exp-17-30
compound_shift,compound-shift-qualification-p19,19,21176,1,6e2b80009b334cbfd96c,full_copy_t2,1800,1779,21,0,21,0.011666666666666667,24038.22,5380.970555555556,4469152.0,6068633.0,10537785.0,168153600,1800,1702,20340,wifi-exp-17-30
compound_shift,compound-shift-qualification-p19,19,21173,1,7062cee2d865215b429b,full_copy_t2,1800,1756,44,0,44,0.024444444444444446,26550.25000000001,6446.224444444444,4527164.0,7049261.0,11576425.0,175525200,1800,1694,20340,wifi-exp-f2e354c
compound_shift,compound-shift-qualification-p19,19,21176,1,719796daad8d029d22d4,ideal_systematic_fec_12p5_t2,1800,1385,415,0,415,0.23055555555555557,32156.96,14174.760555555555,908831.0,6068633.0,6977464.0,168150000,1800,1758,3660,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21135,1,721489ba93438d850f76,single_5ghz_no_redundancy,1800,845,955,0,955,0.5305555555555556,32631.999999999993,22719.335555555557,0.0,6903019.0,6903019.0,196089600,0,0,0,wifi-exp-f2e354c
compound_shift,compound-shift-qualification-p19,19,21174,1,750ce535c39c8e1daa65,single_5ghz_no_redundancy,1800,1332,468,0,468,0.26,32026.090000000007,15802.798888888889,0.0,6606256.0,6606256.0,171219600,0,0,0,wifi-exp-17-30
legacy_coexistence,legacy-coexistence-qualification-p17,17,21135,1,7ca5d4c79920099495c9,full_copy_t0,1800,1506,294,0,294,0.16333333333333333,30444.35000000001,11658.429444444444,6195138.0,6903019.0,13098157.0,196036800,1800,1223,18900,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p17,17,21039,1,8092bb7d796f712a6558,single_5ghz_no_redundancy,1800,630,1170,0,1170,0.65,32311.150000000005,25999.036666666667,0.0,4975255.0,4975255.0,529443600,0,0,0,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21046,1,80c7ba5214e2b4594100,full_copy_t0,1800,925,875,0,875,0.4861111111111111,32738.079999999998,21771.75611111111,9717048.0,8280809.0,17997857.0,395884800,1800,530,18900,wifi-exp-17-30
obss_intensity,obss-intensity-qualification-p19,19,21047,1,832dcea7e26a0a4c4ad4,oracle_eventual_missing_repair_t2,1800,1747,53,0,53,0.029444444444444443,31468.399999999994,9445.461111111112,1736372.0,5749520.0,7485892.0,392797200,733,680,7551,wifi-exp-f2e354c
obss_intensity,obss-intensity-qualification-p19,19,21045,1,843e71fca6d91af6fcd8,full_copy_t2,1800,1511,289,0,289,0.16055555555555556,31760.700000000008,11955.947777777777,8026842.0,6204589.0,14231431.0,394960200,1800,868,18900,wifi-exp-f2e354c
