comparison_id,candidate_arm_id,baseline_arm_id,family_id,scenario_id,candidate__all_generated_deadline_miss_rate,baseline__all_generated_deadline_miss_rate,candidate__completed_frame_hf7_p99_us,baseline__completed_frame_hf7_p99_us,candidate__sender_airtime_us,baseline__sender_airtime_us,candidate__background_throughput_mbps,baseline__background_throughput_mbps,deadline_miss_delta,completed_p99_delta_us,sender_airtime_ratio,background_throughput_loss,relative_deadline_miss_reduction
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,compound_shift,compound-shift-qualification-p18,0.050347222222222224,0.027256944444444445,33014.70249999999,27048.615,3911205.75,3107876.25,40.21628,40.2272,0.02309027777777778,5966.0874999999905,1.2584818169642373,0.00027145811789053287,-0.8471337579617835
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,compound_shift,compound-shift-qualification-p19,0.2713888888888889,0.08944444444444444,31939.359999999986,28831.81999999998,7126437.75,5171193.0,22.74832,22.75584,0.18194444444444446,3107.5400000000045,1.3781032249231464,0.0003304646191922833,-2.03416149068323
score_aware_t2_v2_minus_str_mlo_nmaxinflights_1,score_aware_t2_v2,str_mlo_nmaxinflights_1,compound_shift,compound-shift-qualification-p21,0.17342592592592593,0.10703703703703704,20738.14,20456.644999999997,7873673.25,6565126.0,22.12932,21.27968,0.06638888888888889,281.4950000000026,1.1993179186507616,-0.03992729213973156,-0.6202422145328719
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p16,0.0011111111111111111,0.0020833333333333333,12726.894999999997,12054.209999999995,4163414.0,3617037.25,26.792160000000003,26.79208,-0.0009722222222222222,672.6850000000013,1.151056434378717,-2.985957044066012e-06,0.4666666666666667
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p17,0.22652777777777777,0.18847222222222224,31800.5525,31516.317500000005,13878153.0,9971326.5,26.59032,26.59324,0.03805555555555554,284.23499999999694,1.391806095207092,0.00010980234074531303,-0.20191599115696368
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p18,0.0031944444444444446,0.006527777777777778,14183.7525,16879.689999999984,4581796.75,4082809.5,26.50948,26.51228,-0.0033333333333333335,-2695.9374999999836,1.1222166378323555,0.00010561143741694146,0.5106382978723405
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p19,0.007361111111111111,0.009166666666666667,20506.35750000002,20683.410000000018,5415189.0,4443484.0,27.080280000000002,27.08228,-0.001805555555555556,-177.05249999999796,1.218680881938587,7.384902600515719e-05,0.19696969696969702
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,radio_propagation,radio-propagation-qualification-p20,0.06791666666666667,0.06958333333333333,26308.69,27881.55250000002,8494619.75,6837293.0,26.64232,26.647,-0.0016666666666666635,-1572.862500000021,1.2423951628224796,0.00017562952677585564,0.0239520958083832
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,obss_intensity,obss-intensity-qualification-p16,0.024999999999999998,0.028333333333333335,23229.024999999987,25101.247499999998,5593828.0,4538807.0,30.33444,30.33484,-0.0033333333333333375,-1872.2225000000108,1.2324445608724937,1.3186158225986233e-05,0.11764705882352955
distributional_shadow_t2_minus_str_mlo_nmaxinflights_1,distributional_shadow_t2,str_mlo_nmaxinflights_1,obss_intensity,obss-intensity-qualification-p17,0.5572222222222223,0.7209722222222222,32226.807500000006,32497.027499999997,6570919.25,6061842.5,70.74876,72.62484,-0.16374999999999995,-270.21999999999025,1.0839805306719863,0.025832483761754288,0.22712386823348096
